word,meaning,week,article,pages
culprit,罪魁祸首；问题根源,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
sign sth into law,签署法案，使其正式成为法律,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
hail ... as ...,将……誉为……；称赞……是……,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
Magna Carta,《大宪章》,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
weaponize,将……武器化；利用……打击对手,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
regulatory penalty box,监管惩罚区；因审批而长期搁置的状态,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
litigated,诉诸诉讼的；由法院审理的,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
activist,活动人士；行动主义者,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
bury sth in delays,让某事陷入层层拖延,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
file a lawsuit / file a case,提起诉讼；提交案件,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
legal molasses,拖沓缓慢的法律程序（字面为‘法律糖浆’）,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
malicious,恶意的；蓄意伤害的,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
sharp rebuke,严厉斥责；强烈批评,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
ruling,裁决；判决,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
scope,范围；界限,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
majority opinion,多数意见；多数法官的判决意见,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
blunt and haphazard tool,粗暴且杂乱无章的工具或手段,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
ahead of schedule,提前完成；早于原定计划,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
hydroelectric,水力发电的,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
undertaking,重大任务；大型项目,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
bipartisan,两党的；跨党派的,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
Sen. / senator,参议员；Sen. 是 senator 的缩写,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
come as,正值；发生在……之际,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
barrage,一连串；接二连三的大量事物,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
court challenge,司法挑战；向法院提出的异议,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
be paired with,与……配套；与……结合,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
curtail,削减；限制；缩短,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
speculative,推测性的；缺乏确证的,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
red tape,繁文缛节；官僚手续,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
liquefied natural gas,液化天然气,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
oversight,监督；监管,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
drilling permit,钻探许可证,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
commonsense,符合常识的；务实合理的,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
responsive to,对……作出回应的；适应……需求的,Week25,The Hoover Dam let energy flow. Congress should take the hint.,5-7
be alive to,意识到；警觉到,Week25,We must be alive to the dangers of a UK social media ban,8-10
appeal,吸引力；吸引人的地方,Week25,We must be alive to the dangers of a UK social media ban,8-10
infinite scroll,无限滚动；不断下滑刷新的信息流,Week25,We must be alive to the dangers of a UK social media ban,8-10
impetus,动力；推动力,Week25,We must be alive to the dangers of a UK social media ban,8-10
subdue,抑制；压制；使减弱,Week25,We must be alive to the dangers of a UK social media ban,8-10
within reach,触手可及；在可获得的范围内,Week25,We must be alive to the dangers of a UK social media ban,8-10
a diet of,长期接触或大量接受某类内容,Week25,We must be alive to the dangers of a UK social media ban,8-10
synthetic,人工合成的；非自然的；虚假的,Week25,We must be alive to the dangers of a UK social media ban,8-10
sensationalist,哗众取宠的；煽情的,Week25,We must be alive to the dangers of a UK social media ban,8-10
least impressive,最不出色的；最不值得称道的,Week25,We must be alive to the dangers of a UK social media ban,8-10
cater to,迎合；满足……的需要,Week25,We must be alive to the dangers of a UK social media ban,8-10
lousy / lousiest,糟糕的；极差的,Week25,We must be alive to the dangers of a UK social media ban,8-10
prey upon,捕食；欺骗、利用或伤害,Week25,We must be alive to the dangers of a UK social media ban,8-10
be intent on,一心想；意图做某事,Week25,We must be alive to the dangers of a UK social media ban,8-10
hostile,敌对的；恶劣的,Week25,We must be alive to the dangers of a UK social media ban,8-10
enact,颁布；使成为法律,Week25,We must be alive to the dangers of a UK social media ban,8-10
demographic,特定人口群体；人口统计群体,Week25,We must be alive to the dangers of a UK social media ban,8-10
consume incidentally,偶然接触或顺带获取（内容）,Week25,We must be alive to the dangers of a UK social media ban,8-10
amid,在……之中；被……环绕,Week25,We must be alive to the dangers of a UK social media ban,8-10
footage,录像片段；影像资料,Week25,We must be alive to the dangers of a UK social media ban,8-10
craze,狂热；一时风靡的潮流,Week25,We must be alive to the dangers of a UK social media ban,8-10
shtick,招牌套路；惯用噱头,Week25,We must be alive to the dangers of a UK social media ban,8-10
authenticity,真实性；真诚性,Week25,We must be alive to the dangers of a UK social media ban,8-10
nonetheless,尽管如此；不过,Week25,We must be alive to the dangers of a UK social media ban,8-10
content moderation,内容审核；内容管理,Week25,We must be alive to the dangers of a UK social media ban,8-10
third-party fact-checker,第三方事实核查员或机构,Week25,We must be alive to the dangers of a UK social media ban,8-10
pretence,假装；虚假的姿态或借口,Week25,We must be alive to the dangers of a UK social media ban,8-10
serve the public interest,服务公共利益,Week25,We must be alive to the dangers of a UK social media ban,8-10
navigate,应对；驾驭；在复杂环境中找到方向,Week25,We must be alive to the dangers of a UK social media ban,8-10
outsize,超常的；异常大的,Week25,We must be alive to the dangers of a UK social media ban,8-10
dedicated,专门的；专用的,Week25,We must be alive to the dangers of a UK social media ban,8-10
provision,提供；配备；供应,Week25,We must be alive to the dangers of a UK social media ban,8-10
deliver media literacy programmes,开展媒体素养课程或项目,Week25,We must be alive to the dangers of a UK social media ban,8-10
media literacy,媒体素养,Week25,We must be alive to the dangers of a UK social media ban,8-10
regularly,定期地；经常地,Week25,We must be alive to the dangers of a UK social media ban,8-10
remain a constant,始终不变；持续存在,Week25,We must be alive to the dangers of a UK social media ban,8-10
misogynistic,厌女的；歧视女性的,Week25,We must be alive to the dangers of a UK social media ban,8-10
filter bubble,过滤气泡；信息茧房,Week25,We must be alive to the dangers of a UK social media ban,8-10
incentivise / incentivize,激励；刺激；给予动机,Week25,We must be alive to the dangers of a UK social media ban,8-10
dopamine,多巴胺,Week25,We must be alive to the dangers of a UK social media ban,8-10
contested,有争议的；受到质疑的,Week25,We must be alive to the dangers of a UK social media ban,8-10
be equipped to do sth,具备做某事的能力或条件,Week25,We must be alive to the dangers of a UK social media ban,8-10
handle conversations,处理、应对讨论或对话,Week25,We must be alive to the dangers of a UK social media ban,8-10
otherwise avoid,原本会回避的,Week25,We must be alive to the dangers of a UK social media ban,8-10
resilience,韧性；抵御和恢复能力,Week25,We must be alive to the dangers of a UK social media ban,8-10
misinformation,错误信息（不一定出于故意）,Week25,We must be alive to the dangers of a UK social media ban,8-10
disinformation,虚假信息（通常指故意制造传播）,Week25,We must be alive to the dangers of a UK social media ban,8-10
chatbot,聊天机器人,Week25,We must be alive to the dangers of a UK social media ban,8-10
current affairs,时事；当前公共事务,Week25,We must be alive to the dangers of a UK social media ban,8-10
civic engagement,公民参与；社会公共参与,Week25,We must be alive to the dangers of a UK social media ban,8-10
wrought,造成；导致（work 的过去分词形式之一）,Week25,We must be alive to the dangers of a UK social media ban,8-10
well rehearsed,反复说过的；早已熟知的,Week25,We must be alive to the dangers of a UK social media ban,8-10
not bear repeating,不值得或不必再重复,Week25,We must be alive to the dangers of a UK social media ban,8-10
addition,补充内容；新增部分,Week25,We must be alive to the dangers of a UK social media ban,8-10
retention,保持；记忆保留,Week25,We must be alive to the dangers of a UK social media ban,8-10
mastery,熟练掌握；精通,Week25,We must be alive to the dangers of a UK social media ban,8-10
be deluged by,被……淹没；被大量信息轰炸,Week25,We must be alive to the dangers of a UK social media ban,8-10
holistic approach,整体性方法；综合方案,Week25,We must be alive to the dangers of a UK social media ban,8-10
reckoning,清算；重新评估；认真面对后果的时刻,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
scramble to do sth,争相、匆忙地做某事,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
curtail,遏制；削减；缩短,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
soaring,飙升的；迅速上涨的,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
heaviest users,使用量最大的用户,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
tokenmaxxing,尽可能大量使用 AI token 的做法,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
processing power,处理能力；算力,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
run up huge bills,累积高额账单,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
proliferate,激增；迅速扩散或增多,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
spiral out of control,不断恶化并失去控制,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
binge on,无节制地大量使用或消费,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
burn through,迅速、大量消耗,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
chunk,块；文本片段,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
techie,科技从业者；技术爱好者,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
dub ... ...,把……称为……,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
show off,炫耀；展示,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
leaderboard,排行榜,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
reasoning model,推理模型,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
corporate credit-card provider,企业信用卡服务商,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
shed light on,阐明；揭示；使人了解,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
mounting,不断增加的；日益严重的,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
rack up,累积；迅速增加（费用、债务等）,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
median,中位数的；中等水平的,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
laggard,落后者；进展迟缓者,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
race to do sth,争相做某事,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
tokenmaxxing is out,大量消耗 token 的做法不再流行或被淘汰,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
scrap,取消；废除；放弃,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
pricey,昂贵的；价格高的,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
cutting-edge,尖端的；最先进的,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
lagging-edge,较落后的；非前沿的,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
leading-edge,领先的；前沿的,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
spending cap,支出上限,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
apportion,分配；按比例分派,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
vendor,供应商；销售商,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
experiment with,尝试；试验,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
outcome-based,基于结果的；按成果计费的,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
query,查询；请求；问题,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
triage queries,对查询进行分流和优先级处理,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
balancing act,平衡术；艰难的权衡,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
tricky,棘手的；难处理的,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
balk at,因价格或条件而犹豫、退缩或拒绝,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
drastic,剧烈的；大幅度的,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
turn a profit,实现盈利；开始赚钱,Week25,Token reckoning: Companies are scrambling to curtail soaring AI costs,11-13
more so,更是如此；更加,Week25,Soccer Can Hurt a Young Person's Brain,14-16
sideline,球场边线；场边区域,Week25,Soccer Can Hurt a Young Person's Brain,14-16
cringe,畏缩；因尴尬或担忧而感到不适,Week25,Soccer Can Hurt a Young Person's Brain,14-16
tightened jaw,紧绷的下巴；咬紧牙关的表情,Week25,Soccer Can Hurt a Young Person's Brain,14-16
wince,因疼痛或不适而皱眉、畏缩,Week25,Soccer Can Hurt a Young Person's Brain,14-16
put limits in place,设定并实施限制,Week25,Soccer Can Hurt a Young Person's Brain,14-16
header,头球；用头顶球的动作,Week25,Soccer Can Hurt a Young Person's Brain,14-16
prefrontal cortex,前额叶皮层,Week25,Soccer Can Hurt a Young Person's Brain,14-16
mid- to late 20s,20 多岁中后期,Week25,Soccer Can Hurt a Young Person's Brain,14-16
neurodegenerative,神经退行性的,Week25,Soccer Can Hurt a Young Person's Brain,14-16
cohort study,队列研究,Week25,Soccer Can Hurt a Young Person's Brain,14-16
top-division,顶级联赛的；最高级别赛区的,Week25,Soccer Can Hurt a Young Person's Brain,14-16
dementia,痴呆症,Week25,Soccer Can Hurt a Young Person's Brain,14-16
goalkeeper,守门员,Week25,Soccer Can Hurt a Young Person's Brain,14-16
dive,扑救；飞身跃起,Week25,Soccer Can Hurt a Young Person's Brain,14-16
exclusively,仅仅；专门地；排他地,Week25,Soccer Can Hurt a Young Person's Brain,14-16
concussion,脑震荡,Week25,Soccer Can Hurt a Young Person's Brain,14-16
subconcussive impact,未达到脑震荡程度的撞击,Week25,Soccer Can Hurt a Young Person's Brain,14-16
imaging study,影像学研究,Week25,Soccer Can Hurt a Young Person's Brain,14-16
elevation,上升；升高,Week25,Soccer Can Hurt a Young Person's Brain,14-16
high-impact,高冲击力的；影响重大的,Week25,Soccer Can Hurt a Young Person's Brain,14-16
keep score,记录影响或伤害（文中为比喻用法）,Week25,Soccer Can Hurt a Young Person's Brain,14-16
cascade,级联反应；连锁反应,Week25,Soccer Can Hurt a Young Person's Brain,14-16
burden of proof,举证责任,Week25,Soccer Can Hurt a Young Person's Brain,14-16
lead,铅,Week25,Soccer Can Hurt a Young Person's Brain,14-16
asbestos,石棉,Week25,Soccer Can Hurt a Young Person's Brain,14-16
"floor, not the ceiling",最低标准，而不是最高上限,Week25,Soccer Can Hurt a Young Person's Brain,14-16
track heading exposure,追踪头球接触或暴露量,Week25,Soccer Can Hurt a Young Person's Brain,14-16
drill,训练动作；反复练习,Week25,Soccer Can Hurt a Young Person's Brain,14-16
athleticism,运动能力；身体素质,Week25,Soccer Can Hurt a Young Person's Brain,14-16
overreach,越权；做得过头,Week27,The Supreme Court's birthright overreach,2-3
on narrow(er) grounds,依据较窄、较有限的理由（作出裁决）,Week27,The Supreme Court's birthright overreach,2-3
swing for the fences,全力一搏；采取大胆、激进的做法,Week27,The Supreme Court's birthright overreach,2-3
point in both directions,同时指向两种相反结论；正反两方面都有依据,Week27,The Supreme Court's birthright overreach,2-3
reach the issue,审理、处理该争议问题（法律语境）,Week27,The Supreme Court's birthright overreach,2-3
executive order,行政命令,Week27,The Supreme Court's birthright overreach,2-3
deny,拒绝给予；否认,Week27,The Supreme Court's birthright overreach,2-3
ruling,裁决；判决,Week27,The Supreme Court's birthright overreach,2-3
if and when,如果将来确实发生；在发生之时,Week27,The Supreme Court's birthright overreach,2-3
deliberate,仔细考虑；审议,Week27,The Supreme Court's birthright overreach,2-3
concurrence,协同意见；赞同判决结果但理由不同的意见,Week27,The Supreme Court's birthright overreach,2-3
statutory,法定的；成文法规定的,Week27,The Supreme Court's birthright overreach,2-3
virtually,几乎；实际上,Week27,The Supreme Court's birthright overreach,2-3
regardless of,不管；不顾,Week27,The Supreme Court's birthright overreach,2-3
override,推翻；使失效；凌驾于,Week27,The Supreme Court's birthright overreach,2-3
a closer call,更难判断、更具争议的事情,Week27,The Supreme Court's birthright overreach,2-3
an avalanche of scholarship,大量涌现的学术研究,Week27,The Supreme Court's birthright overreach,2-3
clause,条款；从句,Week27,The Supreme Court's birthright overreach,2-3
interpretation,解释；解读,Week27,The Supreme Court's birthright overreach,2-3
ratify,正式批准；批准生效,Week27,The Supreme Court's birthright overreach,2-3
turn on,取决于；围绕……展开,Week27,The Supreme Court's birthright overreach,2-3
be subject to the jurisdiction of,受……管辖,Week27,The Supreme Court's birthright overreach,2-3
the ins and outs of,……的来龙去脉；全部细节,Week27,The Supreme Court's birthright overreach,2-3
common law,普通法；判例法,Week27,The Supreme Court's birthright overreach,2-3
decline to do sth,拒绝做某事,Week27,The Supreme Court's birthright overreach,2-3
press one's case,极力陈述、推进自己的主张,Week27,The Supreme Court's birthright overreach,2-3
empower,授权；使有权,Week27,The Supreme Court's birthright overreach,2-3
provision,条款；规定,Week27,The Supreme Court's birthright overreach,2-3
legislator,立法者；议员,Week27,The Supreme Court's birthright overreach,2-3
birth tourism,生育旅游；为让孩子取得国籍而赴境外生产,Week27,The Supreme Court's birthright overreach,2-3
jurisdiction,司法管辖区；管辖权,Week27,The Supreme Court's birthright overreach,2-3
unilateralism,单边主义,Week27,The Supreme Court's birthright overreach,2-3
backfire,产生反效果；事与愿违,Week27,The Supreme Court's birthright overreach,2-3
as soon as,一……就……,Week27,The Supreme Court's birthright overreach,2-3
gambit,策略性开局；冒险招数,Week27,The Supreme Court's birthright overreach,2-3
desperately,极其；迫切地,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
muckraker,揭露社会丑闻的记者或作家,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
calamity,灾难；大祸,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
hacker,黑客,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
bioterrorist,生物恐怖分子,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
slap sb/sth with ...,突然对……施加处罚、限制等,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
guardrailed,设有安全护栏或限制措施的,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
a row,争吵；争端（英式英语）,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
the Pentagon,五角大楼；美国国防部,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
grudge,怨恨；积怨,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
allay,减轻；消除（担忧、恐惧）,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
appear to,似乎；看起来,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
lift a ban,解除禁令,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
fiddle with,摆弄；胡乱或小幅调整,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
on the fly,临时地；边做边改,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
nationalistic tinge,民族主义色彩,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
lever,杠杆；可利用的手段,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
de facto,事实上的,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
brouhaha,喧闹；风波；轩然大波,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
take precedence over,优先于；比……更重要,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
now that,既然；由于现在……,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
licensing,许可；发放许可证,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
tinker with,小修小改；摆弄,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
crack down on,严厉打击,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
distillation,蒸馏；（人工智能）知识蒸馏,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
buy time / buy months,赢得时间；争取几个月,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
at most,至多,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
unworkable,不可行的；无法实施的,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
malleable,可塑的；容易调整的,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
aside,……暂且不论；撇开……不谈,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
lurch,突然的大幅变化；猛冲,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
bottle up,封锁；压制；抑制,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
jump,突增；跃升,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
unleash,释放；引发,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
set free,释放；放开,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
provide for,规定；为……作准备,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
staggered release,分阶段发布,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
formalise / formalize,使正式化；制度化,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
horse-trading,政治交易；讨价还价,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
expertise,专业知识；专长,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
oversight,监督；监管,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
amalgamate,合并；整合,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
indiscriminate,不加区分的；任意的,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
leverage,杠杆作用；影响力；筹码,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
fail-safe,故障安全机制；保险措施,Week27,Rules for supermodels: America should not imprison frontier AI,4-6
textile-maker,纺织品制造商,Week27,Is too much sleep as bad as too little?,7-9
fairer,更公平的,Week27,Is too much sleep as bad as too little?,7-9
received wisdom,普遍接受的观点；公认看法,Week27,Is too much sleep as bad as too little?,7-9
kip,睡觉；一觉（英式非正式用语）,Week27,Is too much sleep as bad as too little?,7-9
grumpiness,坏脾气；易怒,Week27,Is too much sleep as bad as too little?,7-9
slumber,睡眠；沉睡,Week27,Is too much sleep as bad as too little?,7-9
refine,改进；细化；使更精确,Week27,Is too much sleep as bad as too little?,7-9
physiology,生理机能；生理学,Week27,Is too much sleep as bad as too little?,7-9
be in good / bad nick,状态良好／糟糕（英式非正式用语）,Week27,Is too much sleep as bad as too little?,7-9
chronological age,实际年龄；按出生日期计算的年龄,Week27,Is too much sleep as bad as too little?,7-9
pathology,病理状况；疾病,Week27,Is too much sleep as bad as too little?,7-9
self-admitted,自己承认的,Week27,Is too much sleep as bad as too little?,7-9
light sleeper,睡眠浅的人,Week27,Is too much sleep as bad as too little?,7-9
despair,绝望,Week27,Is too much sleep as bad as too little?,7-9
for one thing,首先；一方面,Week27,Is too much sleep as bad as too little?,7-9
disentangle,理清；解开复杂关系,Week27,Is too much sleep as bad as too little?,7-9
freak out,惊慌失措；抓狂,Week27,Is too much sleep as bad as too little?,7-9
sage,明智的；睿智的,Week27,Is too much sleep as bad as too little?,7-9
irony,讽刺之处；反讽,Week27,Is too much sleep as bad as too little?,7-9
toss and turn,辗转反侧,Week27,Is too much sleep as bad as too little?,7-9
fertile,肥沃的；有利于发展的,Week27,"On America's 250th, remember your Adam Smith",10-12
renewal,复兴；更新；重新承诺,Week27,"On America's 250th, remember your Adam Smith",10-12
spare a thought for,想一想；关心一下,Week27,"On America's 250th, remember your Adam Smith",10-12
extant,现存的；尚存的,Week27,"On America's 250th, remember your Adam Smith",10-12
animate,赋予活力；推动（文中指支撑、驱动某种理念）,Week27,"On America's 250th, remember your Adam Smith",10-12
nationalist-populist,民族主义民粹主义者,Week27,"On America's 250th, remember your Adam Smith",10-12
socialist-populist,社会主义民粹主义者,Week27,"On America's 250th, remember your Adam Smith",10-12
